customerID,tenure,MonthlyCharges,TotalCharges,age,Churn
CUST_00000,51,102.24509547210165,5867.755454616211,64,0
CUST_00001,14,82.40879684346811,7709.440449859925,78,0
CUST_00002,71,98.00935826770532,1029.1991148598104,53,0
CUST_00003,60,79.05342530821152,3142.685763322654,33,1
CUST_00004,20,60.24238895799795,7890.2600735683445,32,0
CUST_00005,23,115.71047771246603,1830.8637971766923,35,0
CUST_00006,2,73.19361013764217,722.6140452486042,24,0
CUST_00007,21,79.71913089113491,7097.308080708066,64,0
CUST_00008,52,40.48973922030442,7522.6656776767995,39,0
CUST_00009,1,81.8163805215822,1480.6169193453075,49,0
CUST_00010,29,76.30398024726027,7692.026925388785,60,0
CUST_00011,37,36.85351659059654,6187.174804462583,36,1
CUST_00012,1,24.077883930020658,4690.342495284924,57,0
CUST_00013,63,79.64465061090665,7475.646731176837,73,1
CUST_00014,59,95.89661147373269,3784.858258884313,18,0
CUST_00015,20,71.38693983404484,1762.0657268861069,52,1
CUST_00016,32,41.13080778260387,2577.9770359633103,22,0
CUST_00017,57,85.98524162268956,4556.372884273967,67,1
CUST_00018,21,26.17078411417943,4791.3505182051185,29,0
CUST_00019,48,63.06703788979937,7254.115821442278,29,1
CUST_00020,58,34.66340935663886,7126.347458397963,38,0
CUST_00021,41,36.8148232081081,5240.671683697083,76,1
CUST_00022,59,38.63398281413677,7031.453640621978,75,1
CUST_00023,14,57.444119818485746,1742.1256554771655,36,0
CUST_00024,61,23.217320973280557,469.5794532977832,26,0
CUST_00025,61,58.574930974768016,7865.231727259607,60,0
CUST_00026,46,70.19415960569948,698.4793539896707,66,1
CUST_00027,61,67.29601706656517,2235.262099101096,65,0
CUST_00028,50,57.04397824111014,6263.964167626973,53,0
CUST_00029,54,103.59295402321675,3696.842479893236,59,0
CUST_00030,63,32.82332262689142,7889.299449841269,71,0
CUST_00031,2,69.58106786570013,2695.8585560671804,64,0
CUST_00032,50,24.328224529568537,126.60469309084647,74,0
CUST_00033,6,25.257879245546796,2719.887652235482,68,0
CUST_00034,20,76.53431666706382,5211.113941679789,49,0
CUST_00035,72,75.73387933855773,3395.9266111215743,52,0
CUST_00036,38,107.55941831013462,4823.157346713622,48,0
CUST_00037,17,74.90311491732746,7891.851107138468,77,0
CUST_00038,3,115.89868408129472,8214.11578698871,70,1
CUST_00039,59,22.966874536792837,2408.4471005939267,72,0
CUST_00040,13,27.99678384763559,4170.021449963709,49,1
CUST_00041,8,22.494717880178904,4951.313256868231,79,0
CUST_00042,52,36.89823873402108,8543.02986285646,54,0
CUST_00043,1,73.20955131605118,8987.583526096174,49,0
CUST_00044,59,83.84836250559766,2133.9570945969094,60,0
CUST_00045,70,22.64968611076422,6548.279244685423,73,0
CUST_00046,43,114.48903076425113,3414.7189388540924,54,1
CUST_00047,7,103.90086841833887,92.81160803819476,56,1
CUST_00048,46,48.254473180023496,103.08765147440315,55,0
CUST_00049,34,25.873128083099733,4155.882747909057,47,0
CUST_00050,35,35.32848146834384,4405.247518778925,75,1
CUST_00051,49,30.948330203007213,222.67587522951504,49,0
CUST_00052,3,30.57494548849258,6188.608202633236,62,0
CUST_00053,1,70.89329224390485,2660.150429582679,19,0
CUST_00054,5,43.07643913432683,5047.840051792826,68,0
CUST_00055,53,54.530251085972736,2722.2532770254606,28,1
CUST_00056,3,118.9295440052009,1520.8661475263787,76,1
CUST_00057,53,87.80005339038516,3676.4201726179,37,0
CUST_00058,62,114.79602803879413,2105.814815818697,54,0
CUST_00059,17,32.54076861337779,4822.51277273413,26,0
CUST_00060,43,56.978226432922064,1805.48020197259,55,0
CUST_00061,33,74.58264393480013,4585.485670268751,66,1
CUST_00062,61,25.82932231265128,1433.2590635224308,36,0
CUST_00063,13,18.427119250051703,6045.352891182349,72,0
CUST_00064,47,86.38430204728559,6790.360406283988,57,0
CUST_00065,14,83.46559071374641,1011.3402235644053,24,1
CUST_00066,71,59.900458619960396,4220.865660095306,22,0
CUST_00067,61,67.94369575526733,656.4278718807648,64,1
